Fall term,Applicant characteristics,([App Redacted]),App characteristics
2025,Unknown - Missing,5971,HS weighted capped GPA
2025,4.00 and above,62342,HS weighted capped GPA
2025,3.70-3.99,26496,HS weighted capped GPA
2025,3.30-3.69,19326,HS weighted capped GPA
2025,3.00-3.29,6836,HS weighted capped GPA
2025,0.00-2.99,3252,HS weighted capped GPA
