Fall term,Applicant characteristics,([App Redacted]),App characteristics
2025,Unknown - Missing,7961,HS weighted capped GPA
2025,4.00 and above,76059,HS weighted capped GPA
2025,3.70-3.99,23439,HS weighted capped GPA
2025,3.30-3.69,13345,HS weighted capped GPA
2025,3.00-3.29,4038,HS weighted capped GPA
2025,0.00-2.99,1988,HS weighted capped GPA
