Fall term,Applicant characteristics,([App Redacted]),App characteristics
2025,Unknown - Missing,7354,HS weighted capped GPA
2025,4.00 and above,72770,HS weighted capped GPA
2025,3.70-3.99,27672,HS weighted capped GPA
2025,3.30-3.69,19143,HS weighted capped GPA
2025,3.00-3.29,6602,HS weighted capped GPA
2025,0.00-2.99,3186,HS weighted capped GPA
